district	type	rt1	rt2	rt3	rt4	rt5	rt6	rt7	price	population	height	longitude	latitude	attraction	building	busstop	community	mall	primaryschool	restaurant	secondaryschool	university	deltausers
海淀区	纯住宅	1	1	0	0	0	0	1	39227.0	3430.0	17.5	116.344734	40.03163	0	2	1	5	0	0	3	0	0	-32
海淀区	纯住宅	1	1	0	0	0	0	1	33000.0	952.0	16.0	116.34444	40.039413	1	1	1	14	0	0	6	0	0	-52
海淀区	纯住宅	1	0	0	0	0	0	1	35000.0	3448.0	14.5	116.35961	40.03023	0	0	1	0	0	0	3	0	0	-33
海淀区	写字楼	1	1	0	0	0	0	1	52000.0	3520.0	15.0	116.30459	39.984318	0	0	1	0	0	0	0	0	0	-119
海淀区	写字楼	1	1	1	0	0	0	1	35000.0	3520.0	20.0	116.3081	39.966587	1	6	6	38	0	0	16	0	0	-188
海淀区	商住两用	1	1	0	0	0	0	0	48500.0	8962.8	22.0	116.3092	39.966137	1	7	3	28	0	0	14	0	0	-110
朝阳区	纯住宅	1	1	1	1	1	0	0	55000.0	1635.0	20.0	116.47153	39.906574	9	8	1	4	0	0	38	0	0	-154
朝阳区	纯住宅	1	1	0	0	0	0	1	39251.0	1456.0	23.0	116.46366	39.878353	2	6	2	68	0	0	32	0	0	-54
丰台区	写字楼	1	0	0	0	0	0	1	NULL	3344.0	9.0	116.3122	39.88258	0	0	1	18	0	0	10	0	0	-58
丰台区	纯住宅	1	1	0	1	1	1	1	40000.0	1267.0	22.0	116.30319	39.85823	0	2	1	13	0	0	15	0	0	-47
西城区	写字楼	1	1	1	0	1	0	1	50000.0	3520.0	6.0	116.38048	39.963722	0	6	1	41	0	0	15	0	0	-111
海淀区	写字楼	1	1	1	0	0	0	1	NULL	3520.0	20.0	116.329956	39.968773	1	15	2	15	2	0	81	0	1	-60
西城区	写字楼	0	1	0	0	0	0	1	52000.0	3520.0	11.0	116.39538	39.96345	2	1	0	35	0	2	13	0	0	-109
海淀区	写字楼	1	0	0	0	0	0	1	39500.0	3520.0	12.0	116.34364	39.961246	1	9	2	66	0	0	21	0	0	-61
海淀区	写字楼	1	1	0	0	0	0	1	55000.0	3520.0	23.0	116.32157	39.953793	3	1	0	19	0	0	11	0	2	-128
海淀区	写字楼	1	1	0	0	0	1	1	NULL	3273.6	12.0	116.32288	39.906776	1	1	0	29	0	1	9	0	0	-162
海淀区	写字楼	1	1	0	0	0	0	1	NULL	10560.0	10.0	116.32288	39.906776	1	1	0	29	0	1	9	0	0	-162
西城区	纯住宅	1	1	1	0	0	0	1	62000.0	8400.0	29.0	116.3415	39.887775	0	0	3	41	0	2	12	3	0	-193
海淀区	纯住宅	1	0	0	0	1	1	0	44680.0	3150.0	27.0	116.351006	40.011734	0	0	2	26	0	0	6	0	0	-72
海淀区	纯住宅	0	0	1	0	0	0	1	34000.0	2716.0	14.0	116.34685	40.008656	2	1	1	11	0	0	15	0	0	-21
海淀区	商住两用	1	1	0	0	0	0	1	51000.0	1320.0	18.0	116.34971	39.946705	25	2	1	25	0	0	22	0	0	-433
西城区	写字楼	1	1	0	0	1	0	0	58000.0	3520.0	16.0	116.34679	39.938503	0	2	1	48	0	2	8	0	2	-123
西城区	纯住宅	1	1	0	0	0	0	0	52749.0	392.0	17.0	116.34624	39.937027	0	2	1	55	0	1	6	0	0	-76
西城区	写字楼	1	1	1	0	0	0	1	NULL	3520.0	9.0	116.35256	39.92168	6	5	4	36	1	0	24	1	0	-138
西城区	商住两用	1	1	0	0	0	0	1	85000.0	1320.0	7.0	116.335686	39.914265	0	2	2	17	0	0	15	0	0	-41
西城区	写字楼	1	1	1	1	0	0	0	NULL	3520.0	20.0	116.359116	39.898552	3	6	2	41	0	2	24	0	0	-97
西城区	写字楼	1	1	0	0	1	0	1	49000.0	3520.0	5.0	116.3516	39.87525	0	7	1	15	0	1	10	0	0	-130
朝阳区	商住两用	1	1	0	0	0	0	1	43085.0	1320.0	24.0	116.41577	40.00242	4	25	2	28	3	0	46	2	0	-73
朝阳区	纯住宅	1	1	1	1	1	0	0	65000.0	1169.0	7.5	116.42129	40.006676	2	4	3	29	0	0	22	2	1	-3
朝阳区	商住两用	1	1	1	0	0	0	1	38000.0	2613.6	24.0	116.42112	39.992836	0	3	5	32	0	0	21	0	0	-97
朝阳区	商住两用	1	1	1	1	1	0	1	53777.0	9240.0	15.5	116.41934	39.992992	1	4	1	33	0	1	19	1	0	-50
朝阳区	纯住宅	1	0	1	0	0	0	0	32200.0	1050.0	8.0	116.41912	39.986	0	4	2	30	0	1	24	0	0	-87
朝阳区	商住两用	1	0	0	0	0	0	1	36500.0	1320.0	9.5	116.41671	39.98377	6	10	2	26	0	1	11	0	0	-86
朝阳区	纯住宅	1	1	0	0	0	0	1	52000.0	1369.0	10.0	116.41473	39.974377	2	15	0	10	0	0	43	0	0	-49
